name,login,package,n_commits,package_author
Hadley Wickham,login_1,mark,1,FALSE
Hadley Wickham,login_1,mdsr,1,FALSE
Hadley Wickham,login_1,meifly,30,TRUE
Hadley Wickham,login_1,memoise,21,TRUE
Hadley Wickham,login_1,mice,1,FALSE
Hadley Wickham,login_1,mitre,1,FALSE
Hadley Wickham,login_1,mlr3,1,FALSE
Hadley Wickham,login_1,mockery,4,TRUE
Hadley Wickham,login_1,modelr,171,TRUE
Hadley Wickham,login_1,mosaic,4,FALSE
Hadley Wickham,login_1,mosaicData,4,FALSE
Hadley Wickham,login_1,multidplyr,163,TRUE
Hadley Wickham,login_1,munsell,9,FALSE
Hadley Wickham,login_1,namedropR,2,FALSE
Hadley Wickham,login_1,naniar,6,FALSE
Hadley Wickham,login_1,nestedmodels,2,TRUE
Hadley Wickham,login_1,nycflights13,99,TRUE
Hadley Wickham,login_1,odbc,21,TRUE
Hadley Wickham,login_1,packrat,3,FALSE
Hadley Wickham,login_1,pak,11,FALSE
Hadley Wickham,login_1,palmerpenguins,4,FALSE
Hadley Wickham,login_1,pammtools,8,FALSE
Hadley Wickham,login_1,panelr,1,FALSE
Hadley Wickham,login_1,pillar,46,TRUE
Hadley Wickham,login_1,pins,327,TRUE
Hadley Wickham,login_1,pkgbuild,55,TRUE
Hadley Wickham,login_1,pkgdepends,5,FALSE
Hadley Wickham,login_1,pkgdown,1478,TRUE
Hadley Wickham,login_1,pkgload,463,TRUE
Hadley Wickham,login_1,plumbr,1,TRUE
Hadley Wickham,login_1,plyr,690,TRUE
Hadley Wickham,login_1,pool,49,TRUE
Hadley Wickham,login_1,postcards,5,FALSE
Hadley Wickham,login_1,postpack,1,FALSE
Hadley Wickham,login_1,potools,15,FALSE
Hadley Wickham,login_1,presenter,1,FALSE
Hadley Wickham,login_1,processx,3,FALSE
Hadley Wickham,login_1,productplots,108,TRUE
Hadley Wickham,login_1,profr,77,TRUE
Hadley Wickham,login_1,prompt,2,FALSE
Hadley Wickham,login_1,prophet,1,FALSE
Hadley Wickham,login_1,proto,43,TRUE
Hadley Wickham,login_1,pryr,190,TRUE
Hadley Wickham,login_1,purrr,558,TRUE
Hadley Wickham,login_1,purrrlyr,296,TRUE
Hadley Wickham,login_1,r2dii.match,1,FALSE
Hadley Wickham,login_1,rATTAINS,1,FALSE
Hadley Wickham,login_1,ragg,1,FALSE
Hadley Wickham,login_1,ralger,1,FALSE
Hadley Wickham,login_1,rappdirs,82,TRUE
Hadley Wickham,login_1,rcmdcheck,33,FALSE
Hadley Wickham,login_1,readr,684,TRUE
Hadley Wickham,login_1,readxl,176,TRUE
Hadley Wickham,login_1,remotes,1,TRUE
Hadley Wickham,login_1,renv,8,FALSE
Hadley Wickham,login_1,repr,1,FALSE
Hadley Wickham,login_1,reprex,25,TRUE
Hadley Wickham,login_1,repurrrsive,6,FALSE
Hadley Wickham,login_1,reshape2,196,TRUE
Hadley Wickham,login_1,respR,1,FALSE
Hadley Wickham,login_1,rex,8,FALSE
Hadley Wickham,login_1,rio,1,FALSE
Hadley Wickham,login_1,rlang,307,TRUE
Hadley Wickham,login_1,rmarkdown,25,TRUE
Hadley Wickham,login_1,roxygen2,1341,TRUE
Hadley Wickham,login_1,rsconnect,119,FALSE
Hadley Wickham,login_1,rstudioapi,20,TRUE
Hadley Wickham,login_1,rticles,34,TRUE
Hadley Wickham,login_1,rtweet,91,TRUE
Hadley Wickham,login_1,ruta,2,FALSE
Hadley Wickham,login_1,rvest,379,TRUE
Hadley Wickham,login_1,rworldmap,2,FALSE
Hadley Wickham,login_1,s2,1,FALSE
Hadley Wickham,login_1,sbm,1,FALSE
Hadley Wickham,login_1,scales,433,TRUE
Hadley Wickham,login_1,sessioninfo,1,TRUE
Hadley Wickham,login_1,sf,4,TRUE
Hadley Wickham,login_1,shiny,55,FALSE
Hadley Wickham,login_1,shinyFeedback,4,FALSE
Hadley Wickham,login_1,shinyloadtest,1,FALSE
Hadley Wickham,login_1,shinytest,47,TRUE
Hadley Wickham,login_1,simpr,1,FALSE
Hadley Wickham,login_1,skater,1,FALSE
Hadley Wickham,login_1,skimr,8,TRUE
Hadley Wickham,login_1,sloop,74,TRUE
Hadley Wickham,login_1,spectralR,1,FALSE
Hadley Wickham,login_1,srvyr,1,FALSE
Hadley Wickham,login_1,ssdtools,1,FALSE
Hadley Wickham,login_1,stationaRy,2,FALSE
Hadley Wickham,login_1,statnipokladna,1,FALSE
Hadley Wickham,login_1,stevemisc,2,TRUE
Hadley Wickham,login_1,storr,1,FALSE
Hadley Wickham,login_1,strex,1,FALSE
Hadley Wickham,login_1,stringr,510,TRUE
Hadley Wickham,login_1,suddengains,1,FALSE
Hadley Wickham,login_1,svglite,184,TRUE
Hadley Wickham,login_1,systemfonts,1,FALSE
Hadley Wickham,login_1,syuzhet,1,FALSE
Hadley Wickham,login_1,targets,1,FALSE
Hadley Wickham,login_1,taylor,1,FALSE
Hadley Wickham,login_1,term,2,FALSE
Hadley Wickham,login_1,testthat,1408,TRUE
Hadley Wickham,login_1,textrecipes,1,FALSE
Hadley Wickham,login_1,tibble,824,TRUE
Hadley Wickham,login_1,tidycmprsk,1,FALSE
Hadley Wickham,login_1,tidyfst,6,FALSE
Hadley Wickham,login_1,tidygate,2,FALSE
Hadley Wickham,login_1,tidyjson,9,FALSE
Hadley Wickham,login_1,tidync,2,TRUE
Hadley Wickham,login_1,tidyquant,1,FALSE
Hadley Wickham,login_1,tidyr,822,TRUE
Hadley Wickham,login_1,tidyselect,101,TRUE
Hadley Wickham,login_1,tidytable,1,FALSE
Hadley Wickham,login_1,tidyverse,252,TRUE
Hadley Wickham,login_1,tourr,89,TRUE
Hadley Wickham,login_1,tsibble,1,FALSE
Hadley Wickham,login_1,tweenr,1,FALSE
Hadley Wickham,login_1,usethis,886,TRUE
Hadley Wickham,login_1,utile.tools,2,FALSE
Hadley Wickham,login_1,vcfR,2,FALSE
Hadley Wickham,login_1,vctrs,553,TRUE
Hadley Wickham,login_1,vpc,3,FALSE
Hadley Wickham,login_1,vroom,2,TRUE
Hadley Wickham,login_1,waldo,259,TRUE
Hadley Wickham,login_1,webreadr,1,FALSE
Hadley Wickham,login_1,webuse,1,FALSE
Hadley Wickham,login_1,wesanderson,15,TRUE
Hadley Wickham,login_1,whisker,2,FALSE
Hadley Wickham,login_1,withr,20,TRUE
Hadley Wickham,login_1,xml2,187,TRUE
Hadley Wickham,login_1,xpose,1,FALSE
Hadley Wickham,login_1,yaml,1,TRUE
Hadley Wickham,login_1,zipangu,1,FALSE
Hadley Wickham,login_1,zoon,1,FALSE
Jeroen Ooms,login_2,CoordinateCleaner,2,FALSE
Jeroen Ooms,login_2,DataSpaceR,1,FALSE
Jeroen Ooms,login_2,EML,3,FALSE
Jeroen Ooms,login_2,ExPanDaR,1,FALSE
Jeroen Ooms,login_2,FedData,1,FALSE
Jeroen Ooms,login_2,IRkernel,4,FALSE
Jeroen Ooms,login_2,MODIStsp,8,FALSE
Jeroen Ooms,login_2,MtreeRing,2,FALSE
Jeroen Ooms,login_2,PROJ,5,TRUE
Jeroen Ooms,login_2,RAppArmor,144,TRUE
Jeroen Ooms,login_2,RInside,1,FALSE
Jeroen Ooms,login_2,RMariaDB,144,TRUE
Jeroen Ooms,login_2,RMySQL,200,TRUE
Jeroen Ooms,login_2,RNeXML,5,FALSE
Jeroen Ooms,login_2,RNetCDF,4,FALSE
Jeroen Ooms,login_2,RPostgres,46,TRUE
Jeroen Ooms,login_2,RProtoBuf,34,FALSE
Jeroen Ooms,login_2,RQuantLib,6,FALSE
Jeroen Ooms,login_2,RSQLite,3,FALSE
Jeroen Ooms,login_2,RSelenium,2,FALSE
Jeroen Ooms,login_2,Rblpapi,2,FALSE
Jeroen Ooms,login_2,Rcpp,3,FALSE
Jeroen Ooms,login_2,RcppCWB,1,TRUE
Jeroen Ooms,login_2,RcppGSL,2,FALSE
Jeroen Ooms,login_2,RcppParallel,1,FALSE
Jeroen Ooms,login_2,RcppRedis,1,FALSE
Jeroen Ooms,login_2,Rook,2,FALSE
Jeroen Ooms,login_2,V8,528,TRUE
Jeroen Ooms,login_2,almanac,1,FALSE
Jeroen Ooms,login_2,animation,1,FALSE
Jeroen Ooms,login_2,antiword,56,TRUE
Jeroen Ooms,login_2,apcf,3,FALSE
Jeroen Ooms,login_2,archive,6,FALSE
Jeroen Ooms,login_2,arkdb,1,FALSE
Jeroen Ooms,login_2,arrow,4,TRUE
Jeroen Ooms,login_2,askpass,43,TRUE
Jeroen Ooms,login_2,assertr,1,FALSE
Jeroen Ooms,login_2,av,309,TRUE
Jeroen Ooms,login_2,babette,1,FALSE
Jeroen Ooms,login_2,bcrypt,44,TRUE
Jeroen Ooms,login_2,beastier,1,FALSE
Jeroen Ooms,login_2,bigstatsr,1,FALSE
Jeroen Ooms,login_2,biomartr,1,FALSE
Jeroen Ooms,login_2,charlatan,1,FALSE
Jeroen Ooms,login_2,ckanr,2,FALSE
Jeroen Ooms,login_2,cld2,45,TRUE
Jeroen Ooms,login_2,cld3,59,TRUE
Jeroen Ooms,login_2,clustermq,2,FALSE
Jeroen Ooms,login_2,codemeta,1,TRUE
Jeroen Ooms,login_2,codemetar,1,TRUE
Jeroen Ooms,login_2,commonmark,140,TRUE
Jeroen Ooms,login_2,contentid,2,FALSE
Jeroen Ooms,login_2,covr,1,TRUE
Jeroen Ooms,login_2,cpp11,2,FALSE
Jeroen Ooms,login_2,cranlogs,1,FALSE
Jeroen Ooms,login_2,credentials,147,TRUE
Jeroen Ooms,login_2,crul,1,FALSE
Jeroen Ooms,login_2,crunch,1,FALSE
Jeroen Ooms,login_2,curl,1029,TRUE
Jeroen Ooms,login_2,cylcop,12,FALSE
Jeroen Ooms,login_2,cyphr,1,FALSE
Jeroen Ooms,login_2,datapack,1,FALSE
Jeroen Ooms,login_2,desc,1,FALSE
Jeroen Ooms,login_2,devtools,12,FALSE
Jeroen Ooms,login_2,drake,1,FALSE
Jeroen Ooms,login_2,duckdb,1,FALSE
Jeroen Ooms,login_2,dynamite,1,FALSE
Jeroen Ooms,login_2,eaf,1,FALSE
Jeroen Ooms,login_2,elastic,1,FALSE
Jeroen Ooms,login_2,emld,2,FALSE
Jeroen Ooms,login_2,essurvey,2,FALSE
Jeroen Ooms,login_2,europepmc,1,FALSE
Jeroen Ooms,login_2,evaluate,2,TRUE
Jeroen Ooms,login_2,fasterize,1,TRUE
Jeroen Ooms,login_2,feather,4,FALSE
Jeroen Ooms,login_2,finch,2,FALSE
Jeroen Ooms,login_2,fs,1,FALSE
Jeroen Ooms,login_2,gdalcubes,4,TRUE
Jeroen Ooms,login_2,gdtools,47,TRUE
Jeroen Ooms,login_2,geojson,6,TRUE
Jeroen Ooms,login_2,geojsonio,4,FALSE
Jeroen Ooms,login_2,gert,562,TRUE
Jeroen Ooms,login_2,gganimate,2,FALSE
Jeroen Ooms,login_2,ggfx,1,FALSE
Jeroen Ooms,login_2,ggiraph,1,FALSE
Jeroen Ooms,login_2,ggplot2,1,FALSE
Jeroen Ooms,login_2,gh,1,FALSE
Jeroen Ooms,login_2,ghapps,11,TRUE
Jeroen Ooms,login_2,gifski,103,TRUE
Jeroen Ooms,login_2,git2r,17,FALSE
Jeroen Ooms,login_2,gitignore,1,FALSE
Jeroen Ooms,login_2,gpg,262,TRUE
Jeroen Ooms,login_2,graphql,42,TRUE
Jeroen Ooms,login_2,haven,4,FALSE
Jeroen Ooms,login_2,hdf5r,3,FALSE
Jeroen Ooms,login_2,hellorust,61,TRUE
Jeroen Ooms,login_2,hms,1,FALSE
Jeroen Ooms,login_2,httpgd,2,TRUE
Jeroen Ooms,login_2,httpuv,7,TRUE
Jeroen Ooms,login_2,httr,16,FALSE
Jeroen Ooms,login_2,hunspell,285,TRUE
Jeroen Ooms,login_2,icesDatras,1,FALSE
Jeroen Ooms,login_2,ijtiff,7,TRUE
Jeroen Ooms,login_2,image.textlinedetector,3,TRUE
Jeroen Ooms,login_2,jagstargets,1,FALSE
Jeroen Ooms,login_2,janeaustenr,1,FALSE
Jeroen Ooms,login_2,jose,90,TRUE
Jeroen Ooms,login_2,jqr,84,TRUE
Jeroen Ooms,login_2,js,49,TRUE
Jeroen Ooms,login_2,jsonld,43,TRUE
Jeroen Ooms,login_2,jsonlite,963,TRUE
Jeroen Ooms,login_2,jsonvalidate,2,FALSE
Jeroen Ooms,login_2,jstor,1,FALSE
Jeroen Ooms,login_2,katex,59,TRUE
Jeroen Ooms,login_2,keyring,1,FALSE
Jeroen Ooms,login_2,landscapetools,2,FALSE
Jeroen Ooms,login_2,lime,2,FALSE
Jeroen Ooms,login_2,lingtypology,2,FALSE
Jeroen Ooms,login_2,littler,2,FALSE
Jeroen Ooms,login_2,lme4,1,FALSE
Jeroen Ooms,login_2,lubridate,1,FALSE
Jeroen Ooms,login_2,lwgeom,5,FALSE
Jeroen Ooms,login_2,magick,1039,TRUE
Jeroen Ooms,login_2,maketools,191,TRUE
Jeroen Ooms,login_2,markdown,1,TRUE
Jeroen Ooms,login_2,mice,1,FALSE
Jeroen Ooms,login_2,mongolite,722,TRUE
Jeroen Ooms,login_2,mregions,1,FALSE
Jeroen Ooms,login_2,nloptr,2,TRUE
Jeroen Ooms,login_2,nlrx,1,FALSE
Jeroen Ooms,login_2,nodbi,1,TRUE
Jeroen Ooms,login_2,odbc,3,FALSE
